Accession,Symbol.1,BioFraction,Channel,Genotype,Mixture,Subject,Residuals,Symbol
Q9DAM5,Slc25a19,0.822080343901623,0,0.0019098267989034,0.0895289649451546,0.0040441274028828,0.0824367369514361,Slc25a19
Q9DAR7,Dcps,0.86120421133863,0,0,2.09561003677333e-10,0.0562385595441003,0.0825572289077087,Dcps
Q9DAS9,Gng12,0.947317552076641,0,0,7.01660503791428e-10,0.0173011692454747,0.0353812779762233,Gng12
Q9DAT5,Trmu,0.941397294858919,0.00697507307818972,2.04159653709281e-11,0.00166613281109118,1.86092488138736e-10,0.0499614990452916,Trmu
Q9DAU1,Cnpy3,0.980502189039951,1.44820328038902e-11,0.00407208347803443,0.00122238294705169,0.0011838751551726,0.0130194693653083,Cnpy3
Q9DAW6,Prpf4,0.978835435653308,0.00219496592162312,0.000845781679075136,8.96249106801298e-05,0,0.0180341918353139,Prpf4
Q9DAW9,Cnn3,0.892488535458058,0,0.0445253883263978,0.0267445772719283,0.00414195541703948,0.032099543526576,Cnn3
Q9DAX9,Appbp2,0.819069345963241,6.46957773588385e-10,0.00464060092649243,0.0545271679315332,0,0.121762884531776,Appbp2
Q9DAZ9,Zfyve19,0.543878038412326,0,0.0507317089425637,0.0320417883178931,0.0137579586294337,0.359590505697784,Zfyve19
Q9DB05,Napa,0.937146788834784,0.0170963727980469,0.00129048495067275,0,0.0120338596410483,0.0324324937754479,Napa
Q9DB10,Smdt1,0.963772191715305,0,0.000391597268623252,0.00448264060983674,0.000129679819957784,0.0312238905862771,Smdt1
Q9DB16,Cab39l,0.499498550423835,9.60940552657432e-10,0,0.00399845399510222,3.68142717090957e-10,0.49650299425198,Cab39l
Q9DB20,Atp5o,0.969568513510254,3.31073198008925e-11,0,0.00259579606576506,0.00634733816413432,0.0214883522267389,Atp5o
Q9DB25,Alg5,0.942369187016845,0.00225308824261378,9.31849799375945e-11,0.00812690086662004,0,0.0472508237807364,Alg5
Q9DB27,Mcts1,0.752062551347647,0.0136186649563238,0,0.0497436692497033,0.00876014449554053,0.175814969950785,Mcts1
Q9DB29,Iah1,0.867224979199583,0,0.00351126089731949,0.000720609860442948,0.0199711333830399,0.108572016659615,Iah1
Q9DB30,Phkg2,0.940131051517071,0.00569196865131147,0.000510022126680333,0.0189044842329784,0.000553732112195947,0.0342087413597626,Phkg2
Q9DB32,Haghl,0.791244036539411,0,0.0023866256555592,0,0,0.20636933780503,Haghl
Q9DB34,Chmp2a,0.443253021189999,0,0,0.185963491382693,0.0867666798233032,0.284016807604005,Chmp2a
Q9DB41,Slc25a18,0.959413984194585,0,0.00262692601470383,0.00181045779255968,0,0.0361486319981512,Slc25a18
Q9DB42,Zfp593,0.962091212763061,0,0,0.000786889845058796,0.00881213941408094,0.0283097579777989,Zfp593
Q9DB43,Zfpl1,0.788692191082725,0,0,0.0294534823882118,0.028575458037278,0.153278868491786,Zfpl1
Q9DB50,Ap1s2,0.452046111204329,0,0,0.0131732645030786,0,0.534780624292592,Ap1s2
Q9DB60,Prxl2b,0.969088740272619,0,0,0,0,0.0309112597273808,Prxl2b
Q9DB72,Btbd17,0.768906536261657,0.117666001025757,0,0.0059592474205778,0.0282050265479669,0.079263188744041,Btbd17
Q9DB73,Cyb5r1,0.884053431183381,0.0123786539768014,0,0.0271508930151228,0.0501604421547645,0.0262565796699303,Cyb5r1
Q9DB75,Cdip1,0.913755907238372,0,0.0405873641928197,0,0,0.0456567285688088,Cdip1
Q9DB77,Uqcrc2,0.981122953871419,0.0033204805783683,1.3846223273917e-05,0.0011549692975614,8.73594374015314e-05,0.0143003905919758,Uqcrc2
Q9DB90,Smg9,0.969376870133629,0.000524629909334916,0,0,0,0.030098499957036,Smg9
Q9DB98,Leng1,0.918392527040954,2.25603655366038e-09,9.74888114858681e-11,0.00388049989494689,1.29653746960488e-08,0.0777269577451993,Leng1
Q9DBA6,Tysnd1,0.974496464920321,0.00290539954455859,9.70914855581596e-05,0.00154750287047397,0,0.0209535411790886,Tysnd1
Q9DBB8,Dhdh,0.917839014756039,0,0.0223399924330907,0.026147537803631,3.13713919719802e-10,0.0336734546935252,Dhdh
Q9DBC0,Selenoo,0.0920802629027859,0,0,0.0131551168105055,5.40736099688324e-10,0.894764619745973,Selenoo
Q9DBC3,Cmtr1,0.977384936039975,0,0,0.00293852907681865,7.51847544396376e-05,0.0196013501287667,Cmtr1
Q9DBC7,Prkar1a,0.938813140972892,0,0,0.000823702796660151,0.0376556729801466,0.0227074832503018,Prkar1a
