Protein,Symbol,Entrez,Mixture,Genotype,BioFraction,Residuals,R2.fixef,R2.total
P59999,Arpc4,68089,0.00286192961065663,0.0118829860971833,0.964032758708557,0.0212223255836032,0.978050577780125,0.981016711315002
Q9WUB0,Rbck1,24105,0.0194728458147003,0.0118805260830561,0.835771176195026,0.132875451907218,0.839086376302403,0.857330075269013
Q9D2V7,Coro7,78885,0.0153428090634363,0.0118791877872314,0.926459204481106,0.0463187986682264,0.936897657984439,0.952080896121568
O35609,Scamp3,24045,4.79998832137582e-09,0.0118713908855021,0.887898089990469,0.10023051432404,0.901866907356948,0.901866907356948
Q2PFD7,Psd3,234353,0.0365817423350254,0.0118583256990189,0.837217452079126,0.11434247988683,0.848335695417432,0.88538572898776
Q80WT0,Jph4,319984,0.0670782438917911,0.0118549359764344,0.832443236013778,0.0886235841179961,0.829910141125137,0.899689781011089
Q8VHY0,Cspg4,121021,0.0368939435384752,0.011852921929763,0.900312220028187,0.0509409145035747,0.905835817473877,0.943280353115968
Q5NCX5,Neurl4,216860,0.0211833860424245,0.0118523591945676,0.911709789323461,0.0552544654395468,0.920928635413064,0.942001030076909
Q9JJ69,Kcnip2,80906,0,0.0118470460154976,0.664323896180609,0.323829057803894,0.65922226726514,0.65922226726514
Q9R0Q6,Arpc1a,56443,0.000245621860113842,0.0118372209301803,0.973550556611169,0.0143666005985365,0.986573767288492,0.986889727708516
Q8VDQ8,Sirt2,64383,0.041961457068304,0.0118333016160463,0.913867121076168,0.0323381202394812,0.930139341394946,0.974253232265979
Q80TS7,Ddn,13199,0.00546604987446539,0.0118162165571365,0.862926926910494,0.119790806657904,0.866314355258832,0.870604186085195
Q9DC22,Dcaf6,74106,0.0188951808784406,0.0117936221538775,0.772460839976534,0.196850356991148,0.789911428436878,0.808234364016552
Q5SXY1,Specc1,432572,0.00210144551604503,0.0117648990690511,0.967177525226923,0.0189561301879809,0.979597330320097,0.981697539274288
Q6P1G0,Heatr6,217026,0.00648047693843345,0.0117272172917715,0.854838358419275,0.126953947350521,0.876377737202143,0.883121433358788
O89051,Itm2b,16432,0.00489010764636889,0.0117255938577322,0.968115245895376,0.0152690526005228,0.978735626821013,0.983479117186281
Q5NCC3,Trim41,211007,1.34209200428594e-10,0.0116943512686742,0.590655099354915,0.397650549242201,0.635281716269205,0.635281716269205
Q3V0K9,Pls1,102502,0.0450166371175784,0.0116896424386257,0.898494437339888,0.0447992831039077,0.909745388242919,0.956657494069262
Q32NY4,Cnnm3,94218,0.0183003111346293,0.0116842417535875,0.934315320695877,0.035700126415906,0.946506330225013,0.96495310327163
Q9JL56,Gde1,56209,0.0183738234630969,0.0116426469201641,0.896530267936851,0.0734532616798877,0.897822903257303,0.915217708634699
Q9CY18,Snx7,76561,0,0.011642422795668,0.545808616322839,0.442548960881493,0.564815530774569,0.564815530774569
Q9QXM1,Jmy,57748,0.0362437030009759,0.0116352587206136,0.815636462249145,0.136484576029266,0.815088837474545,0.850466304533585
P97427,Crmp1,12933,0.0234778097716843,0.011563527908843,0.896174641920988,0.0687840203984852,0.901170010978738,0.924198826680007
P58389,Ptpa,110854,0.00902291335526056,0.0115470523676418,0.939676930394327,0.0397531038827704,0.947569615464842,0.956177378643706
Q9DCB4,Arpp21,74100,0.0366875657274624,0.01154614095842,0.752424171203584,0.199342122110534,0.752800119894067,0.788010883239727
P70677,Casp3,12367,0.0017255196824886,0.0115354711802327,0.846058695892059,0.14068031324522,0.852382713127797,0.853146486213596
Q8BGZ1,Hpcal4,170638,0.0627246306319965,0.0115183647651336,0.829554698836953,0.0962023057659164,0.825649223272494,0.8902697658164
P10605,Ctsb,13030,0.026492794423069,0.0114938642252717,0.878595196135395,0.0834181452162641,0.889001845504495,0.915559648965781
Q93092,Taldo1,21351,0.0186241061101926,0.0114802187719411,0.903799137661078,0.0660965374567883,0.905954542463879,0.923735055386075
Q3TVI4,Hexim2,71059,0.00742758076351784,0.0114233012143607,0.94157037655847,0.0395787414636516,0.952751675601039,0.960032319097683
Q9CQC9,Sar1b,66397,0.00419775641327104,0.0114130664221839,0.915628818448902,0.0687603587156424,0.917622875390073,0.920841211002263
Q5DTN8,Jakmip3,74004,0,0.0114101235039511,0.930912666461894,0.0576772100341545,0.936632953833511,0.936632953833511
Q8CAY6,Acat2,110460,2.44157344191295e-11,0.0114021738645704,0.956474285677887,0.0321235404331269,0.968047656759093,0.968047656759093
P97290,Serping1,12258,0.0303407368260706,0.0113877694902522,0.780069846669314,0.178201647014363,0.773763991317427,0.801946328209516
P30875,Sstr2,20606,0.0114633689356221,0.0113788299572505,0.927883351476764,0.0492744496303635,0.936290892422051,0.947378686951373
Q9DBT5,Ampd2,109674,0.00494078484266543,0.0113721121636569,0.964834565503441,0.0188525374902365,0.974010578978353,0.978707741400112
P29268,Ccn2,14219,0.0139517398407019,0.0113574547460531,0.716352297911782,0.258338507501463,0.706070945480504,0.716356497621297
Q80WT5,Aftph,216549,0.0135216243181485,0.0113345464896912,0.89440541817375,0.0807384110184106,0.903563643559047,0.916643531956434
Q8BIZ1,Anks1b,77531,0.0161734861115645,0.0113235175178845,0.910497119168965,0.0620058772015859,0.925968070422548,0.942387150739794
Q8BHL5,Elmo2,140579,0.0188134034819254,0.0113200412475515,0.927211441458107,0.0426551138124165,0.950234638067952,0.970118776306592
Q6P5F9,Xpo1,103573,0.000970575013803782,0.0113078923578862,0.857834491283057,0.129887041345253,0.867490153910153,0.867870400026196
P35288,Rab23,19335,0.00791973435458434,0.0113016566186035,0.940161643370883,0.0406169656559294,0.949471380610983,0.957100082486696
Q6ZPR5,Smpd4,77626,0.11423566310899,0.0112968427511126,0.792098648608675,0.0823688455312228,0.785530368102427,0.910768837344528
Q00560,Il6st,16195,0.0601540792911893,0.0112911765196722,0.905739485392846,0.0228152587962922,0.910571603840651,0.974088964656735
Q8BXC6,Commd2,52245,0.029109929457733,0.0112437717663676,0.621921472769541,0.337724826006359,0.765125185313475,0.804401817008576
O08576,Rundc3a,51799,0.0281275611447642,0.0112387415738766,0.859556645264434,0.101077052016926,0.871051014822929,0.899292177175268
Q9JJV5,Cacng3,54376,0.0479472584639737,0.0112276445322192,0.890722399981862,0.0501026970219448,0.900171492308773,0.950128635489516
O55137,Acot1,26897,0.00967029399857796,0.0112193219401397,0.926085936330788,0.0530244477304949,0.938616387718757,0.948225296336056
Q0VAV2,Exph5,320051,0.0647578274099425,0.0112145478565982,0.830505928023118,0.0935216967103413,0.847016210862085,0.91610067775136
Q00993,Axl,26362,0.0042816383576992,0.0111737180886038,0.953104212723983,0.0314404308297143,0.961810064826734,0.965795228627463
Q7TNE1,Sugct,192136,0.0368379928972782,0.0111592635897485,0.915971995342851,0.0360307481701222,0.922907657965084,0.960572057168248
O88343,Slc4a4,54403,0.00808650936748233,0.0111520942526898,0.965356881950383,0.0154045144294447,0.975306377653503,0.983244364605473
Q8HW98,Iglon5,210094,0.00465291408019447,0.0111433224695369,0.89493423419323,0.0892695292570383,0.895127827452896,0.898576266924847
Q80WC7,Agfg2,231801,0.0971901524038337,0.0111365580044837,0.767916080991923,0.123757208599759,0.761739825092532,0.865601284341418
Q80V31,Cep104,230967,0.172315884439523,0.0111291084259611,0.666779552415464,0.149775454719052,0.671937449613697,0.868934702865001
Q5SNZ0,Ccdc88a,108686,0.0321312757094133,0.0111098406170523,0.144158863929204,0.81260001974433,0.394567336782306,0.446457775089273
Q8BUY8,Gprasp2,245607,0.00489356917610102,0.0110959649829881,0.954434180094089,0.0295762857468221,0.962591612266735,0.96715180904534
A3KFX0,Nt5c1a,230718,0.184202001634134,0.0110877353630758,0.532882237798771,0.271828025204019,0.525706223852603,0.729859509905386
Q8K298,Anln,68743,0.112007927176515,0.0110718859150539,0.809200702201888,0.067719484706543,0.813492226534419,0.937685789435896
Q99K85,Psat1,107272,0.00858375204168187,0.0110688775434399,0.950613329498772,0.0297340409161063,0.960176877496478,0.968547408941812
Q9CWE0,Mtfr1l,76824,0.00699276724479708,0.0110468459158537,0.957864161898541,0.0240962249408084,0.971506806486448,0.978621933333456
Q8VDK1,Nit1,27045,0.0165619344891577,0.0110455528962803,0.886514332452705,0.0858781801618574,0.889753325530606,0.905416983726347
Q03173,Enah,13800,3.88637694195629e-10,0.0110359216906222,0.933222717322815,0.0557413605979253,0.93914991890672,0.93914991890672
Q641P0,Actr3b,242894,0.0116152797708346,0.0110323165865768,0.952451967867557,0.0249004357750318,0.959958034653134,0.971246907871018
Q99JT9,Adi1,104923,0.0614128739102776,0.0110316514462055,0.809712274362914,0.117843200280603,0.816311373990101,0.88025691931339
Q922H9,Zfp330,30932,0.017906750685961,0.0110120571719858,0.840750528291037,0.130330663851016,0.844036193937104,0.860752203450563
P97799,Nrsn1,22360,0.0948712717376484,0.0109839518939341,0.746483547861804,0.147661228506613,0.739896479935241,0.840469641748956
Q61361,Bcan,12032,0.0295739540358084,0.0109780369288306,0.850022534483257,0.109425474552104,0.85041277890124,0.879136802089405
O35643,Ap1b1,11764,0.0226112485957721,0.0109679711035321,0.914833644250351,0.0515871360503447,0.922405011554261,0.944899996488857
