protein,symbol,entrez,contrast,log2FC,percentControl,Pvalue,FDR,Padjust,Tstatistic,SE,DF,isSingular
Q8BG32,Psmd11,69077,Mutant-Control,-0.0127566439370899,0.991196745785524,0.594410314893533,0.837573724935548,1,-0.537519176304556,0.0237324443469939,33.9969084153247,FALSE
Q8BG39,Sv2b,64176,Mutant-Control,-0.000961223274512868,0.999333952705422,0.987760828027869,0.997038196636225,1,-0.0154533503068107,0.0622016103581909,34.0000136882106,FALSE
Q8BG40,Katnb1,74187,Mutant-Control,-0.012504086592104,0.991370279293521,0.531801646012036,0.803232144705204,1,-0.631709206483291,0.0197940547070921,34.0001412219799,FALSE
Q8BG50,Tmem169,271711,Mutant-Control,-0.0574976711594291,0.960929389620135,0.363583162227196,0.679921951987657,1,-0.920915280474968,0.0624353535862433,33.9999605493732,FALSE
Q8BG51,Rhot1,59040,Mutant-Control,-0.134513221030423,0.910977154061669,0.0196887796959525,0.14073040111556,1,-2.44783060035124,0.0549520138407949,33.9999834798096,FALSE
Q8BG58,P4htm,74443,Mutant-Control,0.00101026750602173,1.00070050931554,0.976903414310939,0.994104987261952,1,0.0291651343256156,0.0346395629364348,33.9999878039844,FALSE
Q8BG67,Efr3a,76740,Mutant-Control,0.0221504506704902,1.01547199329437,0.563545165685562,0.821664780140553,1,0.583293508781629,0.0379747937136443,34.000041090073,FALSE
Q8BG73,Sh3bgrl2,212531,Mutant-Control,0.0280443886144992,1.01962905430222,0.459740912031395,0.755774563659134,1,0.74776838752142,0.0375041110088327,34.0000405619086,FALSE
Q8BG75,Tmem198,319998,Mutant-Control,0.12392759991299,1.08969742555687,0.0355690686765503,0.200605005894848,1,2.18888862349232,0.0566166768756221,34.0000218299129,FALSE
Q8BG79,Cwf19l2,244672,Mutant-Control,0.0349480049238027,1.02451989842392,0.650143539976522,0.866756832137468,1,0.457610140389758,0.0763706960121919,34.0000183724813,FALSE
Q8BG81,Poldip3,73826,Mutant-Control,-0.01996939940401,0.986253623417838,0.696502682434446,0.885441962703378,1,-0.393369295430316,0.0507650181038278,34.0000172888988,FALSE
Q8BG84,Lair1,52855,Mutant-Control,0.134007093814406,1.09733733323669,0.0693990347984406,0.296243237776195,1,1.87503229807702,0.0714692189312369,34.0000132398773,FALSE
Q8BG89,Zfp365,216049,Mutant-Control,-0.151581489689045,0.90026304854323,0.141049305104771,0.43618822665661,1,-1.50698944584976,0.100585634562007,34.0000060359654,FALSE
Q8BG92,Clvs2,215890,Mutant-Control,-0.0734704722535762,0.950349135645965,0.294100756186389,0.615418007694221,1,-1.06562857774589,0.0689456662367175,34.0000169231167,FALSE
Q8BG94,Commd7,99311,Mutant-Control,-0.0459269365328119,0.968667244912933,0.512112871154356,0.791848006874713,1,-0.662506620457145,0.0693229850308835,34.0000138677397,FALSE
Q8BG95,Ppp1r12b,329251,Mutant-Control,-0.0668922438360751,0.954692318287339,0.0978038746536307,0.355220132578618,1,-1.70242149498865,0.039292410271477,34.0000725277268,FALSE
Q8BGA2,Lhfpl2,218454,Mutant-Control,-0.00552448385333015,0.996178041937814,0.905566331199368,0.97202725006729,1,-0.11952064050685,0.0462220067588539,34.0000217113705,FALSE
