protein,contrast,log2FC,percentControl,Pvalue,Tstatistic,SE,DF,isSingular
E9PYK3,Mutant-Control,-0.103320223248944,0.930888175243253,0.0755509247237008,-1.83313327043255,0.056362635993489,34.0000211848659,FALSE
E9PZ19,Mutant-Control,-0.0401200640190451,0.972574004455122,0.625987276385689,-0.491848269756334,0.0815700013317541,34.0000672955114,FALSE
E9PZJ8,Mutant-Control,0.005567865340252,1.00386680704399,0.853603809092713,0.18593092996378,0.0299458801251445,33.9994850624679,FALSE
E9PZM4,Mutant-Control,0.0707759130150478,1.05028139610775,0.423570236030833,0.810005427764051,0.0873770848800588,34.0000085159576,FALSE
E9PZQ0,Mutant-Control,0.0642658279097264,1.04555273377316,0.52791505007915,0.642391221137137,0.100041572479719,20.0000049090324,FALSE
E9Q1P8,Mutant-Control,-0.0864394907721886,0.941844314479479,0.149371658252181,-1.47515586811444,0.058596852468666,34.000029102156,FALSE
E9Q1U1,Mutant-Control,-0.0152629484761855,0.989476296055661,0.861960912835229,-0.181487296381174,0.0840992663427472,6.00000171386598,FALSE
E9Q2M9,Mutant-Control,0.104235631420282,1.07492472302298,0.0860597293243037,1.8055815175914,0.0577296734623925,20.0000140467786,FALSE
E9Q309,Mutant-Control,0.0677263395615153,1.04806365265088,0.372527275836225,0.903673043739361,0.0749456233432244,34.000010717812,FALSE
E9Q349,Mutant-Control,0.018712944321968,1.01305531063144,0.850869752910747,0.189445953015905,0.0987772186423899,33.9999987321943,FALSE
E9Q394,Mutant-Control,0.0749605665016029,1.05333224460124,0.0879309604540112,1.75694222985396,0.0426653564516084,34.0000343509353,FALSE
E9Q3C1,Mutant-Control,0.0215856467065549,1.01507452166195,0.73633711793097,0.339478876305075,0.0635846534591355,34.0000141363154,FALSE
E9Q3L2,Mutant-Control,0.0531591549531774,1.03753438877096,0.0390550830633956,2.14649262683577,0.0247655893565968,34.0001757144955,FALSE
E9Q401,Mutant-Control,0.0348059580580777,1.02441902979114,0.174868911104375,1.38567534330294,0.0251184075882545,34.0001291717933,FALSE
E9Q4F7,Mutant-Control,-0.0317318820273282,0.978245258757063,0.754602485897712,-0.316901562246862,0.100131668024437,20.0000053591482,FALSE
E9Q4N7,Mutant-Control,-0.01098722658636,0.992413161329797,0.926238654183067,-0.0932672931381638,0.117803639589752,34.000015272369,FALSE
E9Q4P1,Mutant-Control,-0.0393790520930191,0.973073676271655,0.926138788238186,-0.0932901293865546,0.422113811525001,39.9999974801662,TRUE
E9Q4S1,Mutant-Control,0.0251625996268086,1.01759437409506,0.410055031266512,0.834085150469632,0.03016790265675,34.0000693867874,FALSE
E9Q4Z2,Mutant-Control,0.131730851920781,1.09560735171416,0.324672694629523,1.00975732021223,0.130457932103027,20.0000034583222,FALSE
E9Q555,Mutant-Control,0.131634779683076,1.0955343952387,0.000190898080559399,4.18329026826584,0.0314668051322302,34.0005690924175,FALSE
E9Q557,Mutant-Control,-0.152466845823065,0.899710742705205,0.214968922931561,-1.26360120408566,0.12066057339142,34.0000022283853,FALSE
E9Q5C9,Mutant-Control,-0.0437863040848017,0.970105594380447,0.481727547645459,-0.711337007867258,0.0615549361280702,34.000007208165,FALSE
E9Q5F9,Mutant-Control,-0.233823835595644,0.850377991561652,0.0283566118368776,-2.28989856983489,0.102111001192731,34.0000036277151,FALSE
E9Q5K9,Mutant-Control,0.0411390898247834,1.02892590156984,0.0461186242753544,2.06998211206868,0.0198741281796248,34.0009796765161,FALSE
E9Q612,Mutant-Control,0.0621121186643521,1.04399305791413,0.152340545502225,1.48803277193519,0.0417410959192621,20.0000305130382,FALSE
E9Q634,Mutant-Control,-0.105504275001143,0.929479998366589,0.0127680133895378,-2.62889397540237,0.0401325713354397,34.0000393562232,FALSE
E9Q6B2,Mutant-Control,-0.0207440560348813,0.985724195640842,0.509668611558501,-0.666374303226129,0.0311297358473349,34.0000242143567,FALSE
